name,location,node_type
Hessenweg (Mitte),POINT(10.387962 53.213689),['Station']
Kefersteinstraße (Uni),POINT(10.410266 53.240979),['Station']
Kloster Lüne,POINT(10.422745 53.260879),['Station']
Klosterkamp,POINT(10.446432 53.229124),['Station']
Klosterweg,POINT(10.371969 53.211655),['Station']
Königsberger Straße,POINT(10.408678 53.262843),['Station']
Konrad-Adenauer-Straße,POINT(10.431951 53.237665),['Station']
Krähornsberg,POINT(10.386178 53.27061),['Station']
Kurt-Schumacher-Straße,POINT(10.42647 53.240408),['Station']
Lambertiplatz,POINT(10.403184 53.245663),['Station']
Landwehr,POINT(10.39565 53.283889),['Station']
Kurt-Höbold-Straße,POINT(10.478639 53.240689),['Station']
Magdeburger Straße,POINT(10.399131 53.266532),['Station']
Memeler Straße,POINT(10.467894 53.260268),['Station']
Naruto-Straße,POINT(10.385121 53.269436),['Station']
Neue Sülze,POINT(10.404244 53.247834),['Station']
Imkerstieg,POINT(10.388845 53.27474),['Station']
Oedeme Dorf,POINT(10.376519 53.228901),['Station']
Ringstraße,POINT(10.389147 53.23597),['Station']
Ovelgönner Weg,POINT(10.392047 53.229798),['Station']
Ortelsburger Straße,POINT(10.463343 53.260827),['Station']
Osterwiese,POINT(10.37475 53.214831),['Station']
Ostlandring,POINT(10.439754 53.2421),['Station']
Pulverweg (Süd),POINT(10.421208 53.248415),['Station']
Hansestraße,POINT(10.426191 53.254098),['Station']
Reichenbachplatz,POINT(10.410708 53.253033),['Station']
Am Bahnhof Rettmer,POINT(10.382028 53.219545),['Station']
Meinekenhop,POINT(10.387754 53.237361),['Station']
Röntgenstraße,POINT(10.402949 53.220612),['Station']
Röntgenstraße (Kirche),POINT(10.402474 53.223026),['Station']
Rotes Tor,POINT(10.40979 53.243815),['Station']
Salzwedeler Straße,POINT(10.403148 53.260572),['Station']
Leuphana,POINT(10.401538 53.230136),['Station']
Schäferfeld,POINT(10.428498 53.238344),['Station']
Scharnhorststraße (DJH),POINT(10.397145 53.229981),['Station']
Schildsteinweg,POINT(10.391929 53.240907),['Station']
Schlachthof,POINT(10.425039 53.272596),['Station']
Am Grasweg,POINT(10.38801 53.2462),['Station']
Schomakerstraße,POINT(10.39989 53.253987),['Station']
Am Schützenplatz,POINT(10.423555 53.248702),['Station']
Schützenstraße,POINT(10.435132 53.244537),['Station']
Zentralfriedhof,POINT(10.398941 53.237293),['Station']
